c1 | 我来我来，印尼的扁杏仁巧克力，好吃停不住
c28 | 产地：比利时，产品名：吉利莲经典贝壳巧克力，推荐理由：造型精致，巧克力丝滑，奶香与可可香平衡得很好，送礼自吃都合适。
c29 | 哇哇哇
c30 | 我真的好想吃马来西亚这边milo和雀巢联名的巧克力，我真的好想吃这个呀，它的这个口感真的很脆又很香，可可味又很浓，求求你能够让我吃到这一款吧，好馋这一口[色色R]
c31 | 产地：荷兰，产品名：M&M's脆脆心巧克力豆，推荐理由：外层脆壳，内心酥脆，口感比普通款更有趣，追剧零食首选，还没在全球购看到。
c32 | 非常想要，非常感谢！么么哒
c33 | 想吃日本的六花亭朗姆提子饼干，口水流了老久了[完啦R]
c34 | 许愿[害羞R]
c35 | 新年常吃的龙眼
c36 | 澳大利亚的车厘子
c37 | 泰国金枕！榴莲！四连支持一波[害羞R][害羞R]
c38 | 刚用塔罗牌算了一卦🔮 显示我和奖品有超强缘分！速来相遇
c39 | 冲
c40 | [飞吻R][飞吻R]泰国～金枕榴莲～[害羞R][害羞R]爱的无法自拔[飞吻R]
c41 | 智利的车厘子 酸酸甜甜很上头
c42 | 新年就宠我一次吧~~啊非常感谢[飞吻R]
c43 | 粉丝来了，感谢好运
c44 | 泰国～金枕榴莲～[害羞R][害羞R]爱的无法自拔[飞吻R]
c45 | 比利时巧克力  超好吃
c46 | 新年快乐，马上有福
c47 | 越南的米纸辣条MISS  BANH  TRang，不油腻，还上瘾，还没有负担，吃的也好吃，主要是很解馋
c48 | 来啦，感觉应该把我家乡的糖糕推广
c49 | 是乌鱼子[吐舌头H]好吃的嘞，产地应该是香港
c50 | 已经四连，万一中了呢？[派对R]
